Player,Simplified Pos,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Per 90 Minutes Gls,Expected xG,Per 90 Minutes Ast,Per 90 Minutes xG
Alisson,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil van Dijk,Defender,1.0,2.0,0.0,0.0,0.05,1.6,0.1,0.08
Mohamed Salah,Forward,14.0,8.0,4.0,6.0,0.72,14.3,0.41,0.74
Dominik Szoboszlai,Midfielder,3.0,2.0,0.0,0.0,0.16,2.1,0.11,0.11
Trent Alexander-Arnold,Defender,2.0,3.0,0.0,0.0,0.11,1.8,0.17,0.1
Luis Díaz,Forward,4.0,2.0,0.0,0.0,0.26,4.6,0.13,0.29
Alexis Mac Allister,Midfielder,1.0,1.0,0.0,0.0,0.07,0.4,0.07,0.03
Darwin Núñez,Forward,7.0,7.0,0.0,1.0,0.47,10.8,0.47,0.73
Ibrahima Konaté,Defender,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.03
Joe Gomez,Defender,0.0,1.0,0.0,0.0,0.0,0.5,0.08,0.04
Diogo Jota,Forward,8.0,2.0,0.0,0.0,0.79,3.6,0.2,0.36
Cody Gakpo,Midfielder,3.0,2.0,0.0,0.0,0.29,4.5,0.2,0.44
Curtis Jones,Midfielder,1.0,1.0,0.0,0.0,0.11,1.8,0.11,0.19
Joël Matip,Defender,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.06
Andrew Robertson,Defender,1.0,0.0,0.0,0.0,0.12,0.5,0.0,0.05
Ryan Gravenberch,Midfielder,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.18
Wataru Endo,Midfielder,1.0,0.0,0.0,0.0,0.13,0.3,0.0,0.04
Kostas Tsimikas,Defender,0.0,3.0,0.0,0.0,0.0,0.1,0.41,0.01
Harvey Elliott,Midfielder,1.0,1.0,0.0,0.0,0.17,0.8,0.17,0.13
Jarell Quansah,Defender,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02
Caoimhín Kelleher,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Bradley,Defender,1.0,3.0,0.0,0.0,0.6,0.4,1.81,0.21
Bobby Clark,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owen Beck,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaide Gordon,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James McConnell,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
